Id,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LotConfig,YearBuilt,RoofStyle,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,G6ivArea,Fireplaces,GarageType,GarageCars,GarageArea,SaleCondition,SalePrice
1,60,6,65,8450,1,1,2003,2,196,706,0,150,856,856,854,0,1710,0,2,2,548,1,208500
2,20,6,80,9600,1,4,1976,2,0,978,0,284,1262,1262,0,0,1262,1,2,2,460,1,181500
3,60,6,68,11250,2,1,2001,2,162,486,0,434,920,920,866,0,1786,1,2,2,608,1,223500
4,70,6,60,9550,2,2,1915,2,0,216,0,540,756,961,756,0,1717,1,6,3,642,2,140000
5,60,6,84,14260,2,4,2000,2,350,655,0,490,1145,1145,1053,0,2198,1,2,3,836,1,250000
6,50,6,85,14115,2,1,1993,2,0,732,0,64,796,796,566,0,1362,0,2,2,480,1,143000
7,20,6,75,10084,1,1,2004,2,186,1369,0,317,1686,1694,0,0,1694,1,2,2,636,1,307000
8,60,6,21,10382,2,2,1973,2,240,859,32,216,1107,1107,983,0,2090,2,2,2,484,1,200000
9,50,8,51,6120,1,1,1931,2,0,0,0,952,952,1022,752,0,1774,2,6,2,468,1,129900
10,190,6,50,7420,1,2,1939,2,0,851,0,140,991,1077,0,0,1077,2,2,1,205,1,118000
11,20,6,70,11200,1,1,1965,4,0,906,0,134,1040,1040,0,0,1040,0,6,1,384,1,129500
12,60,6,85,11924,2,1,2005,4,286,998,0,177,1175,1182,1142,0,2324,2,4,3,736,6,345000
13,20,6,21,12968,3,1,1962,4,0,737,0,175,912,912,0,0,912,0,6,1,352,1,144000
14,20,6,91,10652,2,1,2006,2,306,0,0,1494,1494,1494,0,0,1494,1,2,3,840,6,279500
15,20,6,21,10920,2,2,1960,4,212,733,0,520,1253,1253,0,0,1253,1,2,1,352,1,157000
16,45,8,51,6120,1,2,1929,2,0,0,0,832,832,854,0,0,854,0,6,2,576,5,132000
17,20,6,21,11241,2,3,1970,2,180,578,0,426,1004,1004,0,0,1004,1,2,2,480,1,149000
18,90,6,72,10791,1,1,1967,2,0,0,0,0,0,1296,0,0,1296,0,5,2,516,1,90000
19,20,6,66,13695,1,1,2004,2,0,646,0,468,1114,1114,0,0,1114,0,6,2,576,1,159000
20,20,6,70,7560,1,1,1958,4,0,504,0,525,1029,1339,0,0,1339,0,2,1,294,2,139000
21,60,6,101,14215,2,2,2005,2,380,0,0,1158,1158,1158,1218,0,2376,1,4,3,853,6,325300
22,45,8,57,7449,1,1,1930,2,0,0,0,637,637,1108,0,0,1108,1,2,1,280,5,139400
23,20,6,75,9742,1,1,2002,4,281,0,0,1777,1777,1795,0,0,1795,1,2,2,534,1,230000
24,120,8,44,4224,1,1,1976,2,0,840,0,200,1040,1060,0,0,1060,1,2,2,572,5,129900
25,20,6,21,8246,2,1,1968,2,0,188,668,204,1060,1060,0,0,1060,1,2,1,270,1,154000
26,20,6,110,14230,1,2,2007,2,640,0,0,1566,1566,1600,0,0,1600,1,2,3,890,1,256300
27,20,6,60,7200,1,2,1951,2,0,234,486,180,900,900,0,0,900,0,6,2,576,1,134800
28,20,6,98,11478,1,1,2007,2,200,1218,0,486,1704,1704,0,0,1704,1,2,3,772,1,306000
29,20,6,47,16321,2,3,1957,2,0,1277,0,207,1484,1600,0,0,1600,2,2,1,319,1,207500
30,30,8,60,6324,2,1,1927,2,0,0,0,520,520,520,0,0,520,0,6,1,240,5,68500
31,70,2,50,8500,1,1,1920,3,0,0,0,649,649,649,668,0,1317,0,6,1,250,1,40000
32,20,6,21,8544,2,3,1966,2,0,0,0,1228,1228,1228,0,0,1228,0,2,1,271,1,149350
33,20,6,85,11049,1,2,2007,2,0,0,0,1234,1234,1234,0,0,1234,0,2,2,484,1,179900
34,20,6,70,10552,2,1,1959,4,0,1018,0,380,1398,1700,0,0,1700,1,2,2,447,1,165500
35,120,6,60,7313,1,1,2005,4,246,1153,0,408,1561,1561,0,0,1561,1,2,2,556,1,277500
36,60,6,108,13418,1,1,2004,2,132,0,0,1117,1117,1132,1320,0,2452,1,4,3,691,1,309000
37,20,6,112,10859,1,2,1994,2,0,0,0,1097,1097,1097,0,0,1097,0,2,2,672,1,145000
38,20,6,74,8532,1,1,1954,4,650,1213,0,84,1297,1297,0,0,1297,1,2,2,498,1,153000
39,20,6,68,7922,1,1,1953,2,0,731,0,326,1057,1057,0,0,1057,0,6,1,246,2,109000
40,90,6,65,6040,1,1,1955,2,0,0,0,0,0,1152,0,0,1152,0,7,0,0,3,82000
41,20,6,84,8658,1,1,1965,2,101,643,0,445,1088,1324,0,0,1324,1,2,2,440,2,160000
42,20,6,115,16905,1,1,1959,2,0,967,0,383,1350,1328,0,0,1328,2,2,1,308,1,170000
43,85,6,21,9180,2,3,1983,2,0,747,93,0,840,884,0,0,884,0,2,2,504,1,144000
44,20,6,21,9200,2,3,1975,4,0,280,491,167,938,938,0,0,938,0,6,1,308,1,130250
45,20,6,70,7945,1,1,1959,2,0,179,506,465,1150,1150,0,0,1150,0,2,1,300,1,141000
46,120,6,61,7658,1,1,2005,4,412,456,0,1296,1752,1752,0,0,1752,1,2,2,576,1,319900
47,50,6,48,12822,2,3,2003,2,0,1351,0,83,1434,1518,631,0,2149,1,2,2,670,2,239686
48,20,3,84,11096,1,1,2006,2,0,24,0,1632,1656,1656,0,0,1656,0,2,3,826,1,249700
49,190,8,33,4456,1,1,1920,2,0,0,0,736,736,736,716,0,1452,0,7,0,0,6,113000
50,20,6,66,7742,1,1,1966,2,0,763,0,192,955,955,0,0,955,0,2,1,386,1,127000
51,60,6,21,13869,3,2,1997,2,0,182,0,612,794,794,676,0,1470,0,2,2,388,1,177000
52,50,8,52,6240,1,1,1934,2,0,0,0,816,816,816,0,360,1176,1,6,2,528,5,114500
53,90,8,110,8472,3,2,1963,2,0,104,712,0,816,816,0,0,816,0,5,2,516,5,110000
54,20,6,68,50271,2,1,1981,2,0,1810,0,32,1842,1842,0,0,1842,1,2,3,894,1,385000
55,80,6,60,7134,1,1,1955,2,0,384,0,0,384,1360,0,0,1360,1,6,2,572,1,130000
56,20,6,100,10175,2,1,1964,2,272,490,0,935,1425,1425,0,0,1425,1,2,2,576,1,180500
57,160,3,24,2645,1,1,1999,2,456,649,0,321,970,983,756,0,1739,0,2,2,480,2,172500
58,60,6,89,11645,2,2,2004,2,0,0,0,860,860,860,860,0,1720,0,2,2,565,1,196500
59,60,6,66,13682,3,3,2006,4,1031,0,0,1410,1410,1426,1519,0,2945,1,4,3,641,6,438780
60,20,6,60,7200,1,1,1972,2,0,632,0,148,780,780,0,0,780,0,6,1,352,1,124900
61,20,6,63,13072,1,1,2004,2,0,941,0,217,1158,1158,0,0,1158,0,6,2,576,6,158000
62,75,8,60,7200,1,1,1920,2,0,0,0,530,530,581,530,0,1111,0,6,1,288,5,101000
63,120,6,44,6442,2,1,2006,2,178,24,0,1346,1370,1370,0,0,1370,1,2,2,484,1,202500
64,70,8,50,10300,2,1,1921,2,0,0,0,576,576,902,808,0,1710,0,6,2,480,5,140000
65,60,6,21,9375,1,1,1997,2,573,739,0,318,1057,1057,977,0,2034,0,2,2,645,1,219500
66,60,6,76,9591,1,1,2004,2,344,0,0,1143,1143,1143,1330,0,2473,1,4,3,852,1,317000
67,20,6,21,19900,1,1,1970,2,287,912,0,1035,1947,2207,0,0,2207,1,2,2,576,1,180000
68,20,6,72,10665,2,1,2003,2,167,1013,0,440,1453,1479,0,0,1479,0,2,2,558,1,226000
69,30,8,47,4608,1,2,1945,2,0,0,0,747,747,747,0,0,747,0,2,1,220,5,80000
70,50,6,81,15593,1,2,1953,2,0,603,0,701,1304,1304,983,0,2287,1,2,2,667,1,225000
71,20,6,95,13651,2,1,1973,2,1115,1880,0,343,2223,2223,0,0,2223,2,2,2,516,1,244000
72,20,6,69,7599,1,2,1982,2,0,565,0,280,845,845,0,0,845,0,6,2,360,1,129500
73,60,6,74,10141,2,2,1998,2,40,0,0,832,832,885,833,0,1718,1,2,2,427,1,185000
74,20,6,85,10200,1,1,1954,2,104,320,362,404,1086,1086,0,0,1086,0,2,2,490,1,144900
75,50,8,60,5790,1,2,1915,3,0,0,0,840,840,840,765,0,1605,0,6,1,379,5,107400
76,180,8,21,1596,1,1,1973,2,0,462,0,0,462,526,462,0,988,0,4,1,297,5,91000
77,20,6,21,8475,2,1,1956,2,0,228,0,724,952,952,0,0,952,0,6,1,283,1,135750
78,50,8,50,8635,1,1,1948,2,0,336,41,295,672,1072,213,0,1285,0,6,1,240,5,127000
79,90,6,72,10778,1,1,1968,4,0,0,0,1768,1768,1768,0,0,1768,0,7,0,0,1,136500
80,50,8,60,10440,1,2,1910,2,0,0,0,440,440,682,548,0,1230,0,6,2,440,5,110000
81,60,6,100,13000,1,2,1968,2,576,448,0,448,896,1182,960,0,2142,1,2,1,509,1,193500
82,120,8,32,4500,1,4,1998,4,443,1201,0,36,1237,1337,0,0,1337,0,2,2,405,5,153500
83,20,6,78,10206,1,1,2007,2,468,33,0,1530,1563,1563,0,0,1563,1,2,3,758,1,245000
84,20,6,80,8892,2,1,1960,2,66,0,0,1065,1065,1065,0,0,1065,0,6,2,461,1,126500
85,80,6,21,8530,2,1,1995,2,22,0,0,384,384,804,670,0,1474,1,4,2,400,1,168500
86,60,6,121,16059,1,2,1991,4,284,0,0,1288,1288,1301,1116,0,2417,1,2,2,462,1,260000
87,60,6,122,11911,3,1,2005,2,0,0,0,684,684,684,876,0,1560,1,4,2,400,1,174000
88,160,3,40,3951,1,2,2009,2,76,0,0,612,612,612,612,0,1224,0,6,2,528,6,164500
89,50,2,105,8470,2,2,1915,4,0,0,0,1013,1013,1013,0,513,1526,0,7,0,0,2,85000
90,20,6,60,8070,1,1,1994,2,0,588,0,402,990,990,0,0,990,0,7,0,0,1,123600
91,20,6,60,7200,1,1,1950,2,0,0,0,0,0,1040,0,0,1040,0,6,2,420,1,109900
92,20,6,85,8500,1,1,1961,4,203,600,0,635,1235,1235,0,0,1235,0,2,2,480,2,98600
93,30,6,80,13360,2,1,1921,2,0,713,0,163,876,964,0,0,964,0,6,2,432,1,163500
94,190,2,60,7200,1,2,1910,4,0,1046,0,168,1214,1260,1031,0,2291,1,6,2,506,1,133900
95,60,6,69,9337,2,1,1997,2,0,648,0,176,824,905,881,0,1786,0,2,2,684,1,204750
96,60,6,21,9765,3,2,1993,2,68,310,0,370,680,680,790,0,1470,1,4,2,420,1,185000
97,20,6,78,10264,2,1,1999,2,183,1162,0,426,1588,1588,0,0,1588,0,2,2,472,1,214000
98,20,6,73,10921,1,1,1965,4,48,520,0,440,960,960,0,0,960,0,2,1,432,1,94750
99,30,6,85,10625,1,2,1920,2,0,108,0,350,458,835,0,0,835,0,3,1,366,2,83000
100,20,6,77,9320,2,1,1959,2,0,569,0,381,950,1225,0,0,1225,0,7,0,0,1,128950
101,20,6,21,10603,2,1,1977,2,28,1200,0,410,1610,1610,0,0,1610,2,2,2,480,1,205000
102,60,6,77,9206,1,1,1985,2,336,0,0,741,741,977,755,0,1732,1,2,2,476,1,178000
103,90,6,64,7018,1,1,1979,2,0,0,0,0,0,1535,0,0,1535,0,2,2,410,4,118964
104,20,6,94,10402,2,2,2009,2,0,0,0,1226,1226,1226,0,0,1226,0,2,3,740,1,198900
